omega_rad_s,y_fit,y_lo_68,y_hi_68
595.4361744697879,47.703209250158025,47.324115997805606,48.091331009725955
595.500200080032,47.73745694014254,47.35814025559444,48.125519141860266
595.5642256902761,47.77175439015443,47.39221409547606,48.160084046574426
595.6282513005202,47.80610170090729,47.42633761832451,48.194826543043916
595.6922769107643,47.84049897336222,47.46051092526396,48.229359454116526
595.7563025210084,47.87494630872824,47.494734117669175,48.26394236108684
595.8203281312525,47.9094438084633,47.52900729716655,48.29882762859887
595.8843537414966,47.943991574274534,47.5633305656343,48.33381663110583
595.9483793517406,47.97858970811906,47.59770402520338,48.36885674282253
596.0124049619848,48.013238312204855,47.63212777825832,48.40394806732621
596.0764305722289,48.04793748899111,47.666601927437604,48.439090708446834
596.140456182473,48.082687341189,47.70112657563451,48.47428477026797
596.204481792717,48.11748797176234,47.735605049300226,48.50953035712729
596.2685074029612,48.15233948392832,47.76997503046771,48.5448275736174
596.3325330132053,48.187241981158124,47.80439505288772,48.580176524586356
596.3965586234494,48.222195567177465,47.83886521798331,48.61555511832106
596.4605842336935,48.25720034596736,47.873385627426686,48.65097424399107
596.5246098439376,48.29225642176507,47.90795638314015,48.68644532070931
596.5886354541817,48.32736389906421,47.942577587296206,48.72196845403482
596.6526610644257,48.36252288261571,47.97724934231849,48.75754374978428
596.7166866746699,48.39773347742877,48.0119717508827,48.79317131403301
596.780712284914,48.432995788770974,48.04674491591673,48.82885125311498
596.8447378951581,48.46830992216932,48.08156894060167,48.86457223204085
596.9087635054021,48.50367598341082,48.116443928372384,48.90018314285921
596.9727891156463,48.539094078543286,48.15136998291827,48.93569536552215
597.0368147258904,48.574564313875726,48.18634720818368,48.9712381343896
597.1008403361344,48.610086795979214,48.221375708368754,49.007036972708505
597.1648659463785,48.64566163168777,48.25647102817562,49.04305166973288
597.2288915566227,48.681288928098596,48.29166817420538,49.07908838199368
597.2929171668668,48.71696879257307,48.3269170905305,49.11511463037842
597.3569427771108,48.75270133273729,48.362342196668365,49.150983078004025
597.420968387355,48.78848665648305,48.398037454205536,49.186898819193864
597.4849939975991,48.824324871968045,48.43378578845729,49.22296791543436
597.5490196078431,48.860216087616884,48.469587309016894,49.25937138924895
597.6130452180872,48.89616041212186,48.505448492677196,49.29582901430403
597.6770708283314,48.932157954443326,48.54140378774513,49.332340902232126
597.7410964385755,48.96820882381067,48.57741273700318,49.36882213725843
597.8051220488195,49.00431312972277,48.6134754515712,49.40526269253471
597.8691476590636,49.04047098194908,48.64959204284658,49.44175727299287
597.9331732693078,49.07668249052984,48.68576262250455,49.478305989398216
597.9971988795518,49.112947765777,48.721987302499016,49.5149089527879
598.0612244897959,49.149266918275195,48.75826619506373,49.5515662744719
598.12525010004,49.185640058881894,48.79459941271233,49.58825537402265
598.1892757102842,49.22206729872849,48.83098347754537,49.624944220775774
598.2533013205282,49.258548749220935,48.8671397947715,49.66168747872732
598.3173269307723,49.295084522040426,48.90334996239642,49.698484978964906
598.3813525410164,49.33167472914403,48.93961409160524,49.735337143945095
598.4453781512605,49.36831948276544,48.975932293859046,49.7722440857373
598.5094037615046,49.40501889541594,49.01230468089592,49.80920591668508
598.5734293717487,49.44177307988467,49.048731364731225,49.846222749406444
598.6374549819928,49.478582149239585,49.08521245765854,49.88316050272511
598.7014805922369,49.5154462168281,49.121753647036854,49.920101363033915
598.765506202481,49.552365396278105,49.15835252811837,49.95711853283763
598.8295318127251,49.58933980149812,49.195006188223466,49.99447724171575
598.8935574229691,49.626369546678376,49.231714740887774,50.031881300929804
598.9575830332133,49.66345474629164,49.26847829992948,50.06934033032348
599.0216086434574,49.70059551509363,49.305296979449636,50.10685550702142
599.0856342537015,49.73779196812386,49.342170893833206,50.14442694706032
599.1496598639455,49.775044220706356,49.37910015774961,50.1821648353313
599.2136854741897,49.81235238845061,49.4160848861538,50.219803900508765
599.2777110844338,49.84971658725192,49.452956400398826,50.25748549039346
599.3417366946778,49.88713693329218,49.48971252326906,50.29527767136365
599.405762304922,49.924613543041104,49.52652343738202,50.33313217867209
599.4697879151661,49.96214653325621,49.563693239895294,50.371043651560164
599.5338135254102,49.99973602098407,49.601061842899085,50.40905879078808
599.5978391356542,50.03738212356081,49.63852677921547,50.447082186723286
599.6618647458984,50.07508495861306,49.676048436718226,50.48512104565066
599.7258903561425,50.11284464405842,49.71362693412734,50.5232615642607
599.7899159663865,50.15066129810626,49.75126239045998,50.56145964160953
599.8539415766306,50.18853503925881,49.78884236074026,50.59971539720621
599.9179671868748,50.22646598631131,49.826435652034235,50.63807673804648
599.9819927971189,50.26445425835314,49.86408577614075,50.6765293392269
600.0460184073629,50.30249997476841,49.90179285165875,50.715040299269646
600.110044017607,50.34060325523701,49.939556997482555,50.75360108454558
600.1740696278512,50.378764219734784,49.97737833280208,50.792024732817204
600.2380952380952,50.41698298853469,50.015256977103995,50.83062459536845
600.3021208483393,50.45525968220754,50.05319689932506,50.869195642795475
600.3661464585834,50.49359442162252,50.09127975942269,50.90783156420917
600.4301720688276,50.53198732794815,50.12942054357279,50.94663138558736
600.4941976790716,50.570438522652815,50.167619373218535,50.985471759940566
600.5582232893157,50.60894812750594,50.20587637010617,51.024369948469456
600.6222488995598,50.64751626457811,50.24419165628514,51.06332727249748
600.686274509804,50.686143056242365,50.28256535410946,51.102421537701176
600.750300120048,50.724828625174545,50.32099758623799,51.14161725371613
600.8143257302921,50.76357309435457,50.35948847563581,51.180872965660306
600.8783513405363,50.802376587066604,50.39803814557432,51.22018879991763
600.9423769507803,50.84123922690007,50.43664671963239,51.25956488318759
601.0064025610244,50.88016113775062,50.47531432169723,51.299001342486264
601.0704281712685,50.919142443820505,50.514041075964826,51.338498305146665
601.1344537815125,50.958183269619425,50.552839953201804,51.378029430452074
601.1984793917567,50.997283739965724,50.5917189157465,51.417571484484604
601.2625050020008,51.0364439799865,50.63065750330732,51.457174210947045
601.3265306122449,51.07566411511879,50.6696558416275,51.49683773782463
601.390556222489,51.114944271110076,50.708714056764016,51.5365621934219
601.4545818327331,51.154284574019385,50.74783227508864,51.57634770636367
601.5186074429772,51.19368515021779,50.78701062328847,51.61619440559567
601.5826330532213,51.23314612638917,50.82624922836673,51.65610242038533
601.6466586634654,51.272667629531036,50.86554821764359,51.696071880322556
601.7106842737095,51.312249786955476,50.9049077187572,51.736102915320835
601.7747098839536,51.351892726289556,50.944327859664014,51.77617376802288
601.8387354941976,51.39159657547631,50.98380876863989,51.816260293568575
601.9027611044418,51.431361462775726,51.02335057428103,51.85640855862564
601.9667867146859,51.47118751676504,51.06295340550433,51.89661869359502
602.03081232493,51.51107486633978,51.10248772942214,51.93674956695893
602.094837935174,51.551023640714554,51.14208185125984,51.97687009920514
602.1588635454182,51.59103396942379,51.18174208085239,52.01704549302134
602.2228891556623,51.63110598232251,51.22148515113557,52.05723461084887
602.2869147659063,51.67123980958697,51.26114450255371,52.09748530692092
602.3509403761504,51.711435581715776,51.300922262547715,52.13827425075082
602.4149659863946,51.75169342953028,51.340761315227006,52.17884444034622
602.4789915966387,51.79201348417553,51.38066178980778,52.219371397949764
602.5430172068827,51.83239587712101,51.420623815825266,52.260088435463196
602.6070428171269,51.87284074016169,51.4606475231348,52.30090413437775
602.671068427371,51.913348205418295,51.50073304191211,52.34178292646368
